総エネルギー(℃・min）,最大温度（℃）,冷却工程,苛性投入までの水の量（g）,液体としての水（結晶水含まず）,水含有量（g）,水和可能数（g）,固化
3050,70,0,24,15,35,19,0
2000,70,0,26,15,35,19,0
1300,70,0,15,15,35,19,1
1400,70,0,15,15,35,19,1
1900,70,0,26,15,35,19,0
8350,80,0,29,15,35,19,0
1900,70,0,21,15,35,19,1
6500,75,0,31,14,34,19,0
2000,70,0,25,14,34,19,1
2000,70,0,27,16,36,19,1
2100,70,0,29,15,34,32,1
2700,70,0,23,20,35,34,1
3850,70,0,24,20,35,34,0
3200,70,0,20,20,35,34,1
3200,70,0,24,20,35,34,0
3200,70,0,20,20,36,33,1
3200,75,0,22,18,35,36,1
2625,75,0,23,15,34,32,1
2650,75,0,22,15,34,32,1
2850,75,0,24,15,34,32,1
2600,70,0,23,15,34,32,0
3300,70,0,21,15,34,32,1
3250,70,0,21,15,34,32,1
19150,85,0,23,15,34,32,1
11500,85,0,23,15,34,32,1
7675,85,0,23,15,34,32,1
21600,70,1,29,15,34,32,1
2850,75,0,24,15,34,31,1
6050,75,1,26,8,28,21,1
4025,70,0,22,17,38,20,1
3500,70,0,25,16,36,20,1
2925,75,0,22,12,28,20,0
3150,70,0,24,14,34,20,1
3150,70,0,24,14,34,22,1
5275,80,0,24,14,34,21,0
2450,70,0,26,14,34,22,1
3275,80,0,30,11,32,22,1
4150,80,1,29,10,31,22,1
8580,85,0,26,10,31,21,0
5250,75,0,26,10,31,21,1
10950,80,0,21,10,27,21,0
5000,75,0,26,10,32,20,1
4900,70,0,35,17,37,20,1
5600,70,0,30,11,33,20,1
5250,70,0,33,14,36,20,1
17100,75,0,29,10,31,22,0
19350,75,0,29,10,31,22,0
21600,75,0,29,10,31,22,0
21600,75,1,29,10,31,22,1
21750,70,1,29,10,31,22,1
31500,70,1,29,10,31,22,1
31500,80,1,29,10,31,22,0
33450,70,1,29,10,31,22,1
33450,75,1,29,10,31,22,0
15750,70,1,29,10,31,22,0
17765,70,0,29,10,31,22,0
21117,70,1,29,10,31,22,1
4050,80,0,30,11,32,22,0
7250,80,0,30,11,32,22,0
12050,80,0,30,11,32,22,0
14690,80,1,30,11,32,22,1
6300,70,0,30,11,32,22,1
4350,80,0,28,18,35,15,0
5050,80,0,26,18,35,15,1
4250,80,0,22,14,32,15,1
4650,75,0,30,22,38,15,0
4100,70,0,29,18,35,16,0
5050,70,0,23,18,35,16,1
4800,70,0,29,18,34,16,0
4700,70,0,23,19,35,16,1
4700,70,0,23,19,35,16,1
4700,70,0,23,19,35,16,1
4700,70,0,23,19,35,16,1
4700,70,0,23,19,35,16,1
4750,70,0,17,19,35,16,1
4150,65,0,17,19,35,16,0
3810,70,0,17,19,35,16,0
3600,70,0,17,19,35,16,1
3600,70,0,17,19,35,16,1
4650,70,0,17,19,35,16,1
4350,70,0,17,19,35,16,1
3350,70,0,17,17,33,16,1
7750,80,0,21,15,31,16,1
10950,80,0,21,15,31,16,1
15750,80,0,21,15,31,16,1
20550,80,0,21,15,31,16,1
16650,80,1,25,15,31,15,1
19200,80,1,25,15,31,15,1
25800,80,0,25,15,31,15,0
24600,80,0,25,15,31,15,0
4800,70,0,32,24,40,15,0
